	A01979	Ritsumeikan U	Ritsumeikan University, Japan
	A01980	Aoyama Gakuin U	Aoyama Gakuin University, Japan
A01980	A11600	Dep Phy	Aoyama Gakuin University, Department of Physics
	A01981	Aichi U Educ	Aichi University of Education, Japan
	A01982	Aichi Gakuin U	Aichi Gakuin University, Japan
	A01983	Aichi U	Aichi University, Japan
	A01984	Nara Inst Tech	Nara Institute of Technology, Japan
	A01985	Aichi Inst Tech	Aichi Institute of Technology, Japan
	A01986	Akita U	Akita University, Japan
	A01987	Aomori U	Aomori University, Japan
	A01988	Asahikawa Coll Tech	Asahikawa College of Technology, Japan
	A01989	Asahi U	Asahi University, Japan
	A01990	Chiba U	Chiba University, Japan
A01990	A11633	Dep Phy	Chiba University, Department of Physics
	A01991	Chubu U	Chubu University, Japan
	A01992	Chiba Keizai U	Chiba Keizai University, Japan
	A01993	U Hyogo	University of Hyogo, Japan
	A01994	Chukyo U	Chukyo University, Japan
	A01995	Tokyo Denki U	Tokyo Denki University
	A01996	Hokkaido Info U	Hokkaido Information University, Japan
	A01997	Dokkyo U	Dokkyo University, Japan
	A01998	Doshisha U	Doshisha University, Japan
	A01999	Ehime U	Ehime University, Japan
A01999	A11637	Res Ctr Sp Csmc Ev	Ehime University, Research Center for Space and Cosmic Evolution
A01999	A11638	Dep Ear Sci	Ehime University, Department of Earth Sciences
A01999	A11639	Dep Phy	Ehime University, Department of Physics
	A02000	Fukuoka U Educ	Fukuoka University of Education, Japan
	A02001	Fukuoka U	Fukuoka University, Japan
	A02002	Fukushima U	Fukushima University, Japan
	A02003	Gakushuin U	Gakushuin University, Japan
	A02004	Gifu U	Gifu University, Japan
	A02005	Nippon Fukushi U	Nippon Fukushi University, Japan
	A02006	Hiroshima Pref Wmns U	Hiroshima Prefectural Womens University, Japan
	A02007	Hirosaki U	Hirosaki University, Japan
	A02008	Hiroshima City U	Hiroshima City University, Japan
	A02009	Hiroshima U	Hiroshima University, Japan
A02009	A02010	Dep Phy	Hiroshima University, Department of Physics
A02009	A11631	Ast Sci Ctr	Hiroshima University, Astrophysical Science Center
A02009	A11632	Dep Ear Plan Sci	Hiroshima University, Department of Earth and Planetary Science
	A02011	Hitotsubashi U	Hitotsubashi University, Japan
	A02012	Hokkai Gakuen U	Hokkai Gakuen University, Japan
	A02013	Hokkaido U	Hokkaido University, Japan
A02013	A11610	Dep Ear Plan Sci	Hokkaido University, Department of Earth and Planetary Science
A02013	A11611	Dep Phy	Hokkaido University, Department of Physics
A02013	A11612	Inst Seis Volc	Hokkaido University, Institute of Seismology and Volcanology
A02013	A11613	Inst Cosmosc	Hokkaido University, Institute of Cosmosciences
	A02014	Hosei U	Hosei University, Japan
	A02015	Hyogo U	Hyogo University, Japan
	A02016	Hyogo Coll Med	Hyogo College of Medicine, Japan
	A02017	Ibaraki U	Ibaraki University, Japan
A02017	A11634	Inst Ast Plan Sci	Ibaraki University, Institute for Astrophysics and Planetary Sciences
	A02018	Intl Christ U	International Christian University, Japan
	A02019	Kyushu Sangyo U	Kyushu Sangyo University, Japan
	A02020	Chiba Inst Tech	Chiba Institute of Technology, Japan
	A02021	Iwate Med U	Iwate Medical University, Japan
	A02022	Iwate U	Iwate University, Japan
	A02023	JAIST	Japan Advanced Institute of Science and Technology
	A02024	Joetsu U Educ	Joetsu University of Education, Japan
	A02025	Japan Wmns U	Japan Womens University
	A02026	Kagawa U	Kagawa University, Japan
	A02027	Kagoshima U	Kagoshima University, Japan
A02027	A11641	Dep Phy Ast	Kagoshima University, Department of Physics and Astronomy
	A02028	Kanagawa Inst Tech	Kanagawa Institute of Technology, Japan
	A02029	Kanagawa U	Kanagawa University, Japan
	A02030	Kanazawa Inst Tech	Kanazawa Institute of Technology, Japan
	A02031	Kanazawa U	Kanazawa University, Japan
A02031	A02032	Sch Nat Sci Tech	Kanazawa University, School of Natural Science and Technology
A02031	A11635	Dep Ear Sci	Kanazawa University, Department of Earth Sciences
A02031	A11636	Dep Phy	Kanazawa University, Department of Physics
	A02033	Kansai U	Kansai University, Japan
	A02034	Kyoto City U Arts	Kyoto City University of Arts, Japan
	A02035	Keio U	Keio University, Japan
	A02036	Kindai U	Kindai University, Japan
	A02037	Kyoto Inst Tech	Kyoto Institute of Technology, Japan
	A02038	Kitasato U	Kitasato University, Japan
	A02039	Kibi Intl U	Kibi International University, Japan
	A02040	Kobe U	Kobe University, Japan
A02040	A11596	Ctr Plan Sci	Kobe University, Center for Planetary Science
A02040	A11597	Dep Phy	Kobe University, Department of Physics
	A02041	Kochi U	Kochi University, Japan
	A02042	Kokugakuin U	Kokugakuin University, Japan
	A02043	Kokushikan U	Kokushikan University, Japan
	A02044	Kyoto Pref U	Kyoto Prefectural University, Japan
	A02045	Kwansei Gakuin U	Kwansei Gakuin University, Japan
	A02046	Kyoto U Arts Dsgn	Kyoto University of Art and Design, Japan
	A02047	Kyoto Gakuen U	Kyoto Gakuen University, Japan
	A02048	Kyoto Pharm U	Kyoto Pharmaceutical University, Japan
	A02049	Kyoto U	Kyoto University, Japan
A02049	A01015	Dep Aer Astnau	Kyoto University, Department of Aeronautics and Astronautics
A02049	A02050	Inst Geoth Sci	Kyoto University, Institute for Geothermal Sciences
A02049	A02051	Dep Ear Plan Sci	Kyoto University, Department of Earth and Planetary Sciences
A02049	A02052	Dep Phy Ast	Kyoto University, Department of Physics and Astronomy
A02049	A02053	DPRI	Kyoto University, Disaster Prevention Research Institute
A02049	A02054	RISH	Kyoto University, Institute for Sustainable Humanosphere
A02049	A11581	YITP	Kyoto University, Yukawa Institute for Theoretical Physics
A02049	A11582	Dep Geop	Kyoto University, Department of Geophysics
A02049	A11583	Hida Kwasan Obs	Kyoto University, Hida and Kwasan Observatories
A02049	A11584	Ctr Sp Stud	Kyoto University, Center for Space Studies
A02049	A11585	Rad Atm Sci Ctr	Kyoto University, Radio Atmospheric Science Center
	A02055	Kyoto Wmns U	Kyoto Womens University, Japan
	A02056	Kyushu U	Kyushu University, Japan
A02056	A11622	Dep Ear Plan Sci	Kyushu University, Department of Earth and Planetary Sciences
A02056	A11623	Sp Env Res Ctr	Kyushu University, Space Environment Research Center
A02056	A11624	Dep Phy	Kyushu University, Department of Physics
	A02057	Kyushu U Tech	Kyushu University of Technology, Japan
	A02058	Gunma U	Gunma University, Japan
	A02059	NIT Matsue	National Institute of Technology, Matsue College, Japan
	A02060	Osaka City U	Osaka City University, Japan
	A02061	Shimane U	Shimane University, Japan
	A02062	Meiji U	Meiji University, Japan
	A02063	Meiji Gakuin U	Meiji Gakuin University, Japan
	A02064	Meijo U	Meijo University, Japan
	A02065	Tokyo Metro U	Tokyo Metropolitan University, Japan
A02065	A11625	Dep Phy	Tokyo Metropolitan University, Department of Physics
	A02066	Mie U	Mie University, Japan
	A02067	Miyagi U Educ	Miyagi University of Education, Japan
	A02068	Miyazaki U	Miyazaki University, Japan
	A02069	Nagasaki U	Nagasaki University, Japan
	A02070	Nagoya City U	Nagoya City University, Japan
	A02071	Nagoya U	Nagoya University, Japan
A02071	A02072	Sol Terr Env Lab	Nagoya University, Solar Terrestrial Environment Laboratory
A02071	A02073	Dep Ear Env Stud	Nagoya University, Department of Earth and Environmental Studies
A02071	A11593	Dep Phy Astrop	Nagoya University, Department of Physics and Astrophysics
A02071	A11594	KMI	Nagoya University, Kobayashi-Maskawa Institute for the Origin of Particles and the Universe
	A02074	Nara Med U	Nara Medical University, Japan
	A02075	Nara Wmns U	Nara Womens University, Japan
	A02076	Naruto U Educ	Naruto University of Education, Japan
	A02077	NIAS	Nagasaki Institute of Applied Science, Japan
	A02078	Nihon U	Nihon University, Japan
	A02079	Niigata U	Niigata University, Japan
	A02080	Nagoya Inst Tech	Nagoya Institute of Technology, Japan
	A02081	Ochanomizu U	Ochanomizu University, Japan
	A02082	Oita U	Oita University, Japan
	A02083	Okayama U	Okayama University, Japan
A02083	A02084	ISEI	Okayama University, Institute for Study of the Earths Interior
	A02085	Meisei U	Meisei University, Japan
	A02086	Osaka Elec-Comm U	Osaka Electro-Communication University, Japan
	A02087	Osaka Gakuin U	Osaka Gakuin University, Japan
	A02088	Osaka Kyoiku U	Osaka Kyoiku University, Japan
	A02089	Osaka Sangyo U	Osaka Sangyo University, Japan
	A02090	Osaka U	Osaka University, Japan
A02090	A11586	Dep Ear Sp Stud	Osaka University, Department of Earth and Space Studies
A02090	A11587	Res Ctr Nuc Phy	Osaka University, Research Center for Nuclear Physics
A02090	A11588	Dep Phy	Osaka University, Department of Physics
A02090	A11589	Inst Laser Eng	Osaka University, Institute of Laser Engineering
	A02091	Okayama U Sci	Okayama University of Science, Japan
	A02092	Rakuno Gakuen U	Rakuno Gakuen University, Japan
	A02093	Rikkyo U	Rikkyo University, Japan
	A02094	Rissho U	Rissho University, Japan
	A02095	Ryukoku U	Ryukoku University, Japan
	A02096	Saga U	Saga University, Japan
	A02097	Saitama U	Saitama University, Japan
	A02098	Hokkaido U Educ	Hokkaido University of Education, Japan
	A02099	Musashi U	Musashi University, Japan
	A02100	Senshu U	Senshu University, Japan
	A02101	Shiga U	Shiga University, Japan
	A02102	Shimonoseki City U	Shimonoseki City University, Japan
	A02103	Shinshu U	Shinshu University, Japan
	A02104	Shumei U	Shumei University, Japan
	A02105	Saitama Inst Tech	Saitama Institute of Technology, Japan
	A02106	Sophia U	Sophia University, Japan
	A02107	Kobe Wmns U	Kobe Womens University, Japan
	A02108	Takushoku U	Takushoku University, Japan
	A02109	Tamagawa U	Tamagawa University, Japan
	A02110	Teikyo U	Teikyo University, Japan
	A02111	Tokyo U Tech	Tokyo University of Technology, Japan
	A02112	Tokyo Med Dental U	Tokyo Medical and Dental University, Japan
	A02113	Tohoku U	Tohoku University, Japan
A02113	A02114	Dep Ear Sci	Tohoku University, Department of Earth Sciences
A02113	A02115	Dep Phy	Tohoku University, Department of Physics
A02113	A02116	Inst Mat Res	Tohoku University, Institute for Materials Research
A02113	A11579	Ast Inst	Tohoku University, Astronomical Institute
A02113	A11580	Dep Geos	Tohoku University, Department of Geosciences
	A02117	Toho U	Toho University, Japan
	A02118	Tohoku Inst Tech	Tohoku Institute of Technology, Japan
	A02119	Tokiwa U	Tokiwa University, Japan
	A02120	Tokushima U	Tokushima University, Japan
	A02121	Tottori U	Tottori University, Japan
	A02122	TUPLS	Tokyo University of Pharmacy and Life Sciences, Japan
	A02123	Toyo U	Toyo University, Japan
	A02124	Tsuda Coll	Tsuda College, Japan
	A02125	U Tsukuba	University of Tsukuba, Japan
A02125	A11603	Dep Phy	University of Tsukuba, Department of Physics
A02125	A11604	Dep Geos	University of Tsukuba, Department of Geosciences
	A02126	Tsuru U	Tsuru University, Japan
	A02127	Tokyo U Agr	Tokyo University of Agriculture, Japan
	A02128	Toyohashi U	Toyohashi University of Technology, Japan
	A02129	Tokyo Wmns Christ U	Tokyo Womans Christian University, Japan
	A02130	Aizu U	Aizu University, Japan
	A02131	U Elec-Comm	University of Electro-Communications, Tokyo, Japan
	A02132	Tokyo Gakugei U	Tokyo Gakugei University, Japan
	A02133	U Occ Env Health	University of Occupational and Environmental Health, Japan
	A02134	Shizuoka U	Shizuoka University, Japan
	A02135	Shiga Pref U	Shiga Prefecture University, Japan
	A02136	Tokai U	Tokai University, Japan
A02136	A02137	Kyushu Tokai U	Kyushu Tokai University, Japan
A02136	A11626	Dep Phy	Tokai University, Department of Physics
	A02138	U Tokyo	University of Tokyo, Japan
A02138	A02139	GSFS	University of Tokyo, Graduate School of Frontier Sciences
A02138	A02140	Inst Ast	University of Tokyo, Institute of Astronomy
A02138	A02141	Inst Csmc Ray Res	University of Tokyo, Institute for Cosmic Ray Research
A02138	A02142	Dep Phy	University of Tokyo, Department of Physics
A02138	A02143	Dep App Phy	University of Tokyo, Department of Applied Physics
A02138	A02144	Dep Ear Plan Env Sci	University of Tokyo, Department of Earth and Planetary Environmental Science
A02138	A02145	Dep Ast	University of Tokyo, Department of Astronomy
A02138	A02146	ERI	University of Tokyo, Earthquake Research Institute
A02138	A11616	Dep Ear Sci Ast	University of Tokyo, Department of Earth Science and Astronomy
A02138	A11617	IPMU	University of Tokyo, Kavli Institute for the Physics and Mathematics of the Universe
A02138	A11618	RESCEU	University of Tokyo, Research Center for the Early Universe
A02138	A11619	AORI	University of Tokyo, Atmosphere and Ocean Research Institute
A02138	A11620	CNS	University of Tokyo, Center for Nuclear Study
A02138	A11621	CCSR	University of Tokyo, Center for Climate System Research
A02138	A11627	Geop Inst	University of Tokyo, Geophysical Institute
	A02147	Utsunomiya U	Utsunomiya University, Japan
	A02148	Wakayama U	Wakayama University, Japan
	A02149	Waseda U	Waseda University, Japan
A02149	A02150	WISE	Waseda University, Advanced Research Institute for Science and Engineering
A02149	A11609	Dep Phy Ast	Waseda University, Department of Physics and Astronomy
	A02151	Yamagata U	Yamagata University, Japan
	A02152	Yamaguchi U	Yamaguchi University, Japan
	A02153	Yamanashi Gakuin U	Yamanashi Gakuin University, Japan
	A02154	Yokohama Natl U	Yokohama National University, Japan
	A02155	Yokohama City U	Yokohama City University, Japan
	A02156	Akita Jr Coll	Akita Junior College, Japan
	A02157	SOKENDAI	Graduate University for Advanced Studies, Japan
A02157	A11578	Dep Ast Sci	Graduate University for Advanced Studies, Department of Astronomical Science
A02157	A11601	Dep Sp Astnau Sci	Graduate University for Advanced Studies, Department of Space and Astronautical Science
A02157	A11602	Dep Part Nuc Phy	Graduate University for Advanced Studies, Department of Particle and Nuclear Physics
	A02158	Open U Japan	Open University of Japan
	A02159	KNCT	Kagoshima National College of Technology, Japan
	A02160	Konan U	Konan University, Japan
	A02161	Kumamoto U	Kumamoto University, Japan
	A02162	Kumamoto NCT	Kumamoto National College of Technology, Japan
	A02163	Tokyo Keizai U	Tokyo Keizai University, Japan
	A02164	Nara Pref U	Nara Prefectural University, Japan
	A02165	Nishogakusha U	Nishogakusha University, Japan
	A02166	Saitama Pref U	Saitama Prefectural University, Japan
	A02167	Tohoku Gakuin U	Tohoku Gakuin University, Japan
	A02168	TITech Ookayama	Tokyo Institute of Technology, Ookayama, Japan
A02168	A02169	Dep Phy	Tokyo Institute of Technology, Department of Physics
A02168	A11614	Dep Ear Plan Sci	Tokyo Institute of Technology, Department of Earth and Planetary Science
	A02170	Tokyo Metro CIT	Tokyo Metropolitan College of Industrial Technology, Japan
	A02171	Yonezawa Wmns Jr Coll	Yonezawa Womens Junior College, Japan
	A02172	Osaka Pref U	Osaka Prefecture University, Japan
	A02173	Nara U Educ	Nara University of Education, Japan
	A02174	Osaka UHSS	Osaka University of Health and Sports Sciences, Japan
	A02175	Natl Def Ac	National Defense Academy, Japan
	A02176	Kyoto U Edu	Kyoto University of Education, Japan
	A02177	Muroran Inst Tech	Muroran Institute of Technology, Japan
	A02178	CRIEPI	Central Research Institute of Electric Power Industry, Japan
	A02179	Fujitsu	Fujitsu Ltd
	A02180	Mitsubishi	Mitsubishi Electric Corporation
	A02181	Ajinomoto	Ajinomoto Co Inc.
	A02182	Sony	Sony Corporation
	A02183	Hamamatsu Phot	Hamamatsu Photonics KK
	A02184	Hitachi	Hitachi Ltd
	A02185	JST Agcy	Japan Science and Technology Agency
